id,name,state,created_at,tags,url,arch,ratio,dataset,epochs,steps_per_epoch,batch_size,image_size,learning_rate,use_2d_fusion,use_hilbert,use_zigzag,ssm_state_dim,emb_features,num_layers,num_heads,patch_size,noise_schedule,ema_decay,augmentation_mode,step,runtime_sec,best_val_clip_score,val_clip_score,best_val_clip_similarity,val_clip_similarity,best_val_loss,val_loss,train_loss,train_best_loss,train_avg_loss
08rxyrjy,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+2d/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash--6279978022552855271/date-2026-04-26_08:29:45,crashed,2026-04-26T08:29:47Z,[],https://wandb.ai/umd-projects/msml612-training/runs/08rxyrjy,hybrid_dit+2d,all-ssm,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,12701,9072.582917258,28.28125,28.203125,0.71728515625,0.7177734375,,,0.4629795551300049,0.4682177007198334,0.4683344960212707
7husjb08,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+2d/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash--8748297391711452726/date-2026-04-26_08:26:00,crashed,2026-04-26T08:26:02Z,[],https://wandb.ai/umd-projects/msml612-training/runs/7husjb08,hybrid_dit+2d,3:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,10541,6674.770609918,28.34375,28.296875,0.71630859375,0.71728515625,,,0.45426487922668457,0.4631497263908386,0.4631497263908386
cmbd8bia,SSM-LDM-manual-dataset-laion12m_coco/image_size-256/batch-128/schd-edm/dtype-float32/arch-hybrid_dit+2d+zigzag/lr-0.0001/resblks-2/emb-768/pure-attn-True/arguments_hash--2135223985593901454/date-2026-04-25_19:17:03,running,2026-04-25T19:17:05Z,[],https://wandb.ai/umd-projects/msml612-training/runs/cmbd8bia,hybrid_dit+2d+zigzag,3:1,laion12m_coco,2000,50000,128,256,0.0001,False,False,False,64,768,16,12,2,edm,0.999,flip_jitter,1479901,279072.968405694,22.59375,22.25,0.77392578125,0.77734375,,,0.31997179985046387,0.3228217363357544,0.32378777861595154
617ma0gf,SSM-LDM-manual-dataset-laion12m_coco/image_size-256/batch-128/schd-edm/dtype-float32/arch-hybrid_dit+2d/lr-0.0001/resblks-2/emb-768/pure-attn-True/arguments_hash--2276375477324224778/date-2026-04-25_19:17:02,running,2026-04-25T19:17:05Z,[],https://wandb.ai/umd-projects/msml612-training/runs/617ma0gf,hybrid_dit+2d,3:1,laion12m_coco,2000,50000,128,256,0.0001,False,False,False,64,768,16,12,2,edm,0.999,flip_jitter,1486801,279371.769889549,20.96875,12.140625,0.7900390625,0.87841796875,,,0.4039270281791687,0.3290875554084778,0.3958105444908142
rrc92ztx,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+2d/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash--7384171728366531967/date-2026-04-21_01:39:43,finished,2026-04-21T01:39:45Z,[],https://wandb.ai/umd-projects/msml612-training/runs/rrc92ztx,hybrid_dit+2d,1:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,19050,9741.81931964,28.640625,28.390625,0.7138671875,0.7158203125,,,0.46653395891189575,0.4508832693099976,0.4508832693099976
0u1qq5s9,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+hilbert/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash-1316737157870482033/date-2026-04-21_01:39:42,finished,2026-04-21T01:39:44Z,[],https://wandb.ai/umd-projects/msml612-training/runs/0u1qq5s9,hybrid_dit+hilbert,1:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,19050,6722.604811182,28.3125,27.9375,0.716796875,0.720703125,,,0.4738355278968811,0.460058331489563,0.460058331489563
xf18pnxa,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+2d+hilbert/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash-7557553592010667610/date-2026-04-20_22:09:27,finished,2026-04-20T22:09:29Z,[],https://wandb.ai/umd-projects/msml612-training/runs/xf18pnxa,hybrid_dit+2d+hilbert,1:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,19050,7317.523028071,28.6875,28.4375,0.71337890625,0.7158203125,,,0.46744632720947266,0.452789843082428,0.452789843082428
s19h4nrt,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash-2782644575371929512/date-2026-04-20_22:09:27,finished,2026-04-20T22:09:29Z,[],https://wandb.ai/umd-projects/msml612-training/runs/s19h4nrt,hybrid_dit,1:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,19050,6625.64034507,28.484375,28.4375,0.71533203125,0.7158203125,,,0.4679525494575501,0.4536962807178498,0.4536962807178498
bqenrds7,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+zigzag/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash-6861833020501457315/date-2026-04-20_16:59:22,finished,2026-04-20T16:59:23Z,[],https://wandb.ai/umd-projects/msml612-training/runs/bqenrds7,hybrid_dit+zigzag,all-ssm,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,19050,6848.198393517,26.84375,26.5,0.7314453125,0.73486328125,,,0.4971992671489715,0.48629823327064514,0.48629823327064514
d0w02u5t,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash--5543792190036984838/date-2026-04-20_14:34:49,finished,2026-04-20T14:34:51Z,[],https://wandb.ai/umd-projects/msml612-training/runs/d0w02u5t,hybrid_dit,all-ssm,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,19050,6762.299195534,27.90625,27.671875,0.720703125,0.72314453125,,,0.4854986071586609,0.47292330861091614,0.47292330861091614
6arxz5mk,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+2d+zigzag/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash--5879204821473382084/date-2026-04-20_14:23:42,finished,2026-04-20T14:23:44Z,[],https://wandb.ai/umd-projects/msml612-training/runs/6arxz5mk,hybrid_dit+2d+zigzag,all-ssm,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,19050,7784.502597338,28.5625,28.078125,0.71435546875,0.71923828125,,,0.470866322517395,0.4549970030784607,0.4549970030784607
